datetime,portfolio_value,cash,positions,return
2015-02-04 15:27:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:28:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:29:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:30:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:31:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:32:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:33:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:34:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:35:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:36:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:37:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:38:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:39:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:40:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:41:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:42:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:43:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:44:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:45:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:46:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:47:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:48:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:49:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:50:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:51:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:52:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:53:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:54:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:55:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:56:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:57:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:58:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:59:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:59:01-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 16:00:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 08:30:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.00824251744344151
2015-02-05 09:30:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:30:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:31:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:32:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:33:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:34:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:35:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:36:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:37:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:38:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:39:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:40:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:41:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:42:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:43:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:44:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:45:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:46:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:47:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:48:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:49:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:50:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:51:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:52:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:53:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:54:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:55:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:56:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:57:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:58:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 09:59:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:00:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:01:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:02:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
